Limit Breached,Result Date,Parameter,Sample Point,Result
False,2025-01-04 08:30:00,"Chlorine, Free",ZONE_AJ_NODE_07,0.7
False,2025-01-04 08:30:00,"Chlorine, Total",ZONE_AJ_NODE_07,0.86
False,2025-01-04 08:30:00,pH field,ZONE_AJ_NODE_07,7.6
False,2025-01-04 08:30:00,Temperature,ZONE_AJ_NODE_07,21.2
False,2025-01-04 08:20:00,"Chlorine, Free",ZONE_AI_NODE_10,0.23
False,2025-01-04 08:20:00,"Chlorine, Total",ZONE_AI_NODE_10,0.31
False,2025-01-04 08:20:00,Temperature,ZONE_AI_NODE_10,21.0
False,2025-01-04 08:20:00,pH field,ZONE_AI_NODE_10,7.6
False,2025-01-04 08:20:00,"Chlorine, Free",ZONE_CO_NODE_31,1.3
False,2025-01-04 08:20:00,"Chlorine, Total",ZONE_CO_NODE_31,1.4
False,2025-01-04 08:20:00,pH field,ZONE_CO_NODE_31,7.6
False,2025-01-04 08:20:00,Temperature,ZONE_CO_NODE_31,20.0
False,2025-01-04 08:20:00,"Chlorine, Free",ZONE_AD_NODE_35,1.1
False,2025-01-04 08:20:00,"Chlorine, Total",ZONE_AD_NODE_35,1.4
False,2025-01-04 08:20:00,pH field,ZONE_AD_NODE_35,7.5
False,2025-01-04 08:20:00,Temperature,ZONE_AD_NODE_35,18.1
False,2025-01-04 08:11:00,"Chlorine, Free",ZONE_BH_NODE_12,0.84
False,2025-01-04 08:11:00,"Chlorine, Total",ZONE_BH_NODE_12,1.4
False,2025-01-04 08:11:00,pH field,ZONE_BH_NODE_12,7.9
False,2025-01-04 08:11:00,Temperature,ZONE_BH_NODE_12,18.6
False,2025-01-04 08:10:00,"Chlorine, Free",ZONE_AW_NODE_01,0.52
False,2025-01-04 08:10:00,"Chlorine, Total",ZONE_AW_NODE_01,0.61
False,2025-01-04 08:10:00,pH field,ZONE_AW_NODE_01,7.9
False,2025-01-04 08:10:00,Temperature,ZONE_AW_NODE_01,21.0
False,2025-01-04 08:05:00,"Chlorine, Free",ZONE_CO_NODE_16,0.9
False,2025-01-04 08:05:00,"Chlorine, Total",ZONE_CO_NODE_16,1.1
False,2025-01-04 08:05:00,pH field,ZONE_CO_NODE_16,7.3
False,2025-01-04 08:05:00,Temperature,ZONE_CO_NODE_16,20.0
False,2025-01-04 08:05:00,"Chlorine, Free",ZONE_BZ_NODE_06,0.18
False,2025-01-04 08:05:00,"Chlorine, Total",ZONE_BZ_NODE_06,0.29
False,2025-01-04 08:05:00,Temperature,ZONE_BZ_NODE_06,21.0
False,2025-01-04 08:05:00,pH field,ZONE_BZ_NODE_06,7.5
False,2025-01-04 08:00:00,"Chlorine, Free",ZONE_CR_NODE_05,1.1
False,2025-01-04 08:00:00,"Chlorine, Total",ZONE_CR_NODE_05,1.4
False,2025-01-04 08:00:00,pH field,ZONE_CR_NODE_05,7.4
False,2025-01-04 08:00:00,Temperature,ZONE_CR_NODE_05,20.2
False,2025-01-04 07:50:00,"Chlorine, Free",ZONE_CO_NODE_25,1.0
False,2025-01-04 07:50:00,"Chlorine, Total",ZONE_CO_NODE_25,1.2
False,2025-01-04 07:50:00,Temperature,ZONE_CO_NODE_25,20.0
False,2025-01-04 07:50:00,pH field,ZONE_CO_NODE_25,7.5
False,2025-01-04 07:50:00,"Chlorine, Free",ZONE_AM_NODE_01,0.19
False,2025-01-04 07:50:00,"Chlorine, Total",ZONE_AM_NODE_01,0.27
False,2025-01-04 07:50:00,pH field,ZONE_AM_NODE_01,7.5
False,2025-01-04 07:50:00,Temperature,ZONE_AM_NODE_01,21.0
False,2025-01-04 07:45:00,"Chlorine, Free",ZONE_BM_NODE_19,0.69
False,2025-01-04 07:45:00,"Chlorine, Total",ZONE_BM_NODE_19,0.99
False,2025-01-04 07:45:00,pH field,ZONE_BM_NODE_19,7.4
False,2025-01-04 07:45:00,Temperature,ZONE_BM_NODE_19,21.0
False,2025-01-04 07:45:00,"Chlorine, Free",ZONE_BB_NODE_04,0.39
False,2025-01-04 07:45:00,"Chlorine, Total",ZONE_BB_NODE_04,0.5
False,2025-01-04 07:45:00,Temperature,ZONE_BB_NODE_04,21.5
False,2025-01-04 07:45:00,pH field,ZONE_BB_NODE_04,7.9
False,2025-01-04 07:45:00,"Chlorine, Free",ZONE_CZ_NODE_19,0.66
False,2025-01-04 07:45:00,"Chlorine, Total",ZONE_CZ_NODE_19,0.89
False,2025-01-04 07:45:00,pH field,ZONE_CZ_NODE_19,7.5
False,2025-01-04 07:45:00,Temperature,ZONE_CZ_NODE_19,20.6
False,2025-01-04 07:44:00,"Chlorine, Free",ZONE_BH_NODE_19,0.92
False,2025-01-04 07:44:00,"Chlorine, Total",ZONE_BH_NODE_19,1.5
False,2025-01-04 07:44:00,pH field,ZONE_BH_NODE_19,7.7
False,2025-01-04 07:44:00,Temperature,ZONE_BH_NODE_19,18.8
False,2025-01-04 07:35:00,"Chlorine, Free",ZONE_CR_NODE_01,1.2
False,2025-01-04 07:35:00,"Chlorine, Total",ZONE_CR_NODE_01,1.4
False,2025-01-04 07:35:00,pH field,ZONE_CR_NODE_01,7.4
False,2025-01-04 07:35:00,Temperature,ZONE_CR_NODE_01,19.0
False,2025-01-04 07:30:00,"Chlorine, Free",ZONE_BM_NODE_10,0.87
False,2025-01-04 07:30:00,"Chlorine, Total",ZONE_BM_NODE_10,1.2
False,2025-01-04 07:30:00,pH field,ZONE_BM_NODE_10,7.4
False,2025-01-04 07:30:00,Temperature,ZONE_BM_NODE_10,22.0
False,2025-01-04 07:30:00,"Chlorine, Free",ZONE_CZ_NODE_03,0.42
False,2025-01-04 07:30:00,"Chlorine, Total",ZONE_CZ_NODE_03,0.55
False,2025-01-04 07:30:00,pH field,ZONE_CZ_NODE_03,7.4
False,2025-01-04 07:30:00,Temperature,ZONE_CZ_NODE_03,21.4
False,2025-01-04 07:27:00,"Chlorine, Free",ZONE_AX_NODE_03,0.12
False,2025-01-04 07:27:00,"Chlorine, Total",ZONE_AX_NODE_03,0.23
False,2025-01-04 07:27:00,Temperature,ZONE_AX_NODE_03,21.5
True,2025-01-04 07:27:00,pH field,ZONE_AX_NODE_03,8.6
False,2025-01-04 07:15:00,"Chlorine, Free",ZONE_BM_NODE_13,1.2
False,2025-01-04 07:15:00,"Chlorine, Total",ZONE_BM_NODE_13,1.5
False,2025-01-04 07:15:00,pH field,ZONE_BM_NODE_13,7.3
False,2025-01-04 07:15:00,Temperature,ZONE_BM_NODE_13,19.6
False,2025-01-04 07:10:00,"Chlorine, Free",ZONE_BA_NODE_07,0.24
False,2025-01-04 07:10:00,"Chlorine, Total",ZONE_BA_NODE_07,0.34
False,2025-01-04 07:10:00,pH field,ZONE_BA_NODE_07,7.3
False,2025-01-04 07:10:00,Temperature,ZONE_BA_NODE_07,19.3
False,2025-12-03 12:01:00,"Chlorine, Free",ZONE_AY_NODE_02,0.09
False,2025-12-03 12:01:00,"Chlorine, Total",ZONE_AY_NODE_02,0.24
False,2025-12-03 12:01:00,Temperature,ZONE_AY_NODE_02,24.4
False,2025-12-03 12:01:00,pH field,ZONE_AY_NODE_02,7.5
False,2025-12-03 11:44:00,"Chlorine, Free",ZONE_CZ_NODE_32,0.28
False,2025-12-03 11:44:00,"Chlorine, Total",ZONE_CZ_NODE_32,0.59
False,2025-12-03 11:44:00,Temperature,ZONE_CZ_NODE_32,24.2
False,2025-12-03 11:44:00,pH field,ZONE_CZ_NODE_32,7.6
False,2025-12-03 11:40:00,"Chlorine, Free",ZONE_A_NODE_22,0.07
False,2025-12-03 11:40:00,"Chlorine, Total",ZONE_A_NODE_22,1.2
False,2025-12-03 11:40:00,pH field,ZONE_A_NODE_22,7.2
False,2025-12-03 11:40:00,Temperature,ZONE_A_NODE_22,23.0
False,2025-12-03 11:31:00,"Chlorine, Free",ZONE_BZ_NODE_04,0.37
False,2025-12-03 11:31:00,"Chlorine, Total",ZONE_BZ_NODE_04,0.55
False,2025-12-03 11:31:00,pH field,ZONE_BZ_NODE_04,7.5
False,2025-12-03 11:31:00,Temperature,ZONE_BZ_NODE_04,24.1
False,2025-12-03 11:30:00,"Chlorine, Free",ZONE_AP_NODE_15,0.9
False,2025-12-03 11:30:00,"Chlorine, Total",ZONE_AP_NODE_15,1.2
False,2025-12-03 11:30:00,pH field,ZONE_AP_NODE_15,7.7
False,2025-12-03 11:30:00,Temperature,ZONE_AP_NODE_15,22.0
False,2025-12-03 11:25:00,"Chlorine, Free",ZONE_A_NODE_21,0.05
False,2025-12-03 11:25:00,"Chlorine, Total",ZONE_A_NODE_21,1.2
False,2025-12-03 11:25:00,pH field,ZONE_A_NODE_21,7.3
False,2025-12-03 11:25:00,Temperature,ZONE_A_NODE_21,22.5
False,2025-12-03 11:20:00,"Chlorine, Free",ZONE_BC_NODE_03,0.87
False,2025-12-03 11:20:00,"Chlorine, Total",ZONE_BC_NODE_03,1.1
False,2025-12-03 11:20:00,pH field,ZONE_BC_NODE_03,7.8
False,2025-12-03 11:20:00,Temperature,ZONE_BC_NODE_03,20.4
False,2025-12-03 11:15:00,"Chlorine, Free",ZONE_AP_NODE_03,0.86
False,2025-12-03 11:15:00,"Chlorine, Total",ZONE_AP_NODE_03,1.2
False,2025-12-03 11:15:00,pH field,ZONE_AP_NODE_03,7.6
False,2025-12-03 11:15:00,Temperature,ZONE_AP_NODE_03,22.0
False,2025-12-03 11:10:00,"Chlorine, Free",ZONE_CR_NODE_06,0.05
False,2025-12-03 11:10:00,"Chlorine, Total",ZONE_CR_NODE_06,1.3
False,2025-12-03 11:10:00,pH field,ZONE_CR_NODE_06,7.4
False,2025-12-03 11:10:00,Temperature,ZONE_CR_NODE_06,22.0
False,2025-12-03 11:00:00,"Chlorine, Free",ZONE_A_NODE_20,0.05
False,2025-12-03 11:00:00,"Chlorine, Total",ZONE_A_NODE_20,1.1
False,2025-12-03 11:00:00,pH field,ZONE_A_NODE_20,7.3
False,2025-12-03 11:00:00,Temperature,ZONE_A_NODE_20,22.0
False,2025-12-03 11:00:00,"Chlorine, Free",ZONE_AI_NODE_03,0.51
False,2025-12-03 11:00:00,"Chlorine, Total",ZONE_AI_NODE_03,0.56
False,2025-12-03 11:00:00,pH field,ZONE_AI_NODE_03,7.6
False,2025-12-03 11:00:00,Temperature,ZONE_AI_NODE_03,21.4
False,2025-12-03 11:00:00,"Chlorine, Free",ZONE_AP_NODE_13,1.1
False,2025-12-03 11:00:00,"Chlorine, Total",ZONE_AP_NODE_13,1.4
False,2025-12-03 11:00:00,pH field,ZONE_AP_NODE_13,7.7
False,2025-12-03 11:00:00,Temperature,ZONE_AP_NODE_13,22.0
False,2025-12-03 10:48:00,"Chlorine, Free",ZONE_BC_NODE_02,1.2
False,2025-12-03 10:48:00,"Chlorine, Total",ZONE_BC_NODE_02,1.6
False,2025-12-03 10:48:00,pH field,ZONE_BC_NODE_02,7.7
False,2025-12-03 10:48:00,Temperature,ZONE_BC_NODE_02,22.7
False,2025-12-03 10:26:00,"Chlorine, Free",ZONE_K_NODE_01,1.2
False,2025-12-03 10:26:00,"Chlorine, Total",ZONE_K_NODE_01,1.6
False,2025-12-03 10:26:00,pH field,ZONE_K_NODE_01,7.7
False,2025-12-03 10:26:00,Temperature,ZONE_K_NODE_01,21.2
False,2025-12-03 10:24:00,"Chlorine, Free",ZONE_AS_NODE_09,0.24
False,2025-12-03 10:24:00,"Chlorine, Total",ZONE_AS_NODE_09,0.5
False,2025-12-03 10:24:00,Temperature,ZONE_AS_NODE_09,21.6
False,2025-12-03 10:24:00,pH field,ZONE_AS_NODE_09,7.4
False,2025-12-03 10:13:00,"Chlorine, Free",ZONE_CR_NODE_07,1.9
False,2025-12-03 10:13:00,"Chlorine, Total",ZONE_CR_NODE_07,2.2
False,2025-12-03 10:13:00,pH field,ZONE_CR_NODE_07,7.5
False,2025-12-03 10:13:00,Temperature,ZONE_CR_NODE_07,21.2
False,2025-12-03 09:49:00,"Chlorine, Free",ZONE_BC_NODE_13,1.4
False,2025-12-03 09:49:00,"Chlorine, Total",ZONE_BC_NODE_13,1.7
False,2025-12-03 09:49:00,pH field,ZONE_BC_NODE_13,7.7
False,2025-12-03 09:49:00,Temperature,ZONE_BC_NODE_13,21.2
False,2025-12-03 09:49:00,"Chlorine, Free",ZONE_AP_NODE_14,0.7
False,2025-12-03 09:49:00,"Chlorine, Total",ZONE_AP_NODE_14,1.0
False,2025-12-03 09:49:00,pH field,ZONE_AP_NODE_14,7.5
False,2025-12-03 09:49:00,Temperature,ZONE_AP_NODE_14,21.7
False,2025-12-03 09:40:00,"Chlorine, Free",ZONE_AI_NODE_11,0.34
False,2025-12-03 09:40:00,"Chlorine, Total",ZONE_AI_NODE_11,0.55
False,2025-12-03 09:40:00,pH field,ZONE_AI_NODE_11,7.6
False,2025-12-03 09:40:00,Temperature,ZONE_AI_NODE_11,22.7
False,2025-12-03 09:30:00,"Chlorine, Free",ZONE_AP_NODE_07,1.0
False,2025-12-03 09:30:00,"Chlorine, Total",ZONE_AP_NODE_07,1.4
False,2025-12-03 09:30:00,pH field,ZONE_AP_NODE_07,7.6
False,2025-12-03 09:30:00,Temperature,ZONE_AP_NODE_07,21.7
False,2025-12-03 09:20:00,"Chlorine, Free",ZONE_A_NODE_16,0.68
False,2025-12-03 09:20:00,"Chlorine, Total",ZONE_A_NODE_16,0.83
False,2025-12-03 09:20:00,pH field,ZONE_A_NODE_16,7.4
False,2025-12-03 09:20:00,Temperature,ZONE_A_NODE_16,23.0
False,2025-12-03 09:20:00,"Chlorine, Free",ZONE_CS_NODE_01,0.76
False,2025-12-03 09:20:00,"Chlorine, Total",ZONE_CS_NODE_01,1.2
False,2025-12-03 09:20:00,pH field,ZONE_CS_NODE_01,8.0
False,2025-12-03 09:20:00,Temperature,ZONE_CS_NODE_01,20.7
False,2025-12-03 09:10:00,"Chlorine, Free",ZONE_CQ_NODE_04,0.53
False,2025-12-03 09:10:00,"Chlorine, Total",ZONE_CQ_NODE_04,0.74
False,2025-12-03 09:10:00,Temperature,ZONE_CQ_NODE_04,23.3
False,2025-12-03 09:10:00,pH field,ZONE_CQ_NODE_04,7.4
False,2025-12-03 08:55:00,"Chlorine, Free",ZONE_CQ_NODE_05,0.56
False,2025-12-03 08:55:00,"Chlorine, Total",ZONE_CQ_NODE_05,0.82
False,2025-12-03 08:55:00,pH field,ZONE_CQ_NODE_05,7.3
False,2025-12-03 08:55:00,Temperature,ZONE_CQ_NODE_05,21.1
False,2025-12-03 08:45:00,"Chlorine, Free",ZONE_A_NODE_03,0.05
False,2025-12-03 08:45:00,"Chlorine, Total",ZONE_A_NODE_03,0.53
False,2025-12-03 08:45:00,pH field,ZONE_A_NODE_03,7.3
False,2025-12-03 08:45:00,Temperature,ZONE_A_NODE_03,21.0
False,2025-12-03 08:40:00,"Chlorine, Free",ZONE_CR_NODE_03,1.2
False,2025-12-03 08:40:00,"Chlorine, Total",ZONE_CR_NODE_03,1.4
False,2025-12-03 08:40:00,pH field,ZONE_CR_NODE_03,7.6
False,2025-12-03 08:40:00,Temperature,ZONE_CR_NODE_03,22.1
False,2025-12-03 08:32:00,"Chlorine, Free",ZONE_Y_NODE_01,1.0
False,2025-12-03 08:32:00,"Chlorine, Total",ZONE_Y_NODE_01,1.8
False,2025-12-03 08:32:00,pH field,ZONE_Y_NODE_01,7.3
False,2025-12-03 08:32:00,Temperature,ZONE_Y_NODE_01,21.6
False,2025-12-03 08:20:00,"Chlorine, Free",ZONE_A_NODE_19,0.05
False,2025-12-03 08:20:00,"Chlorine, Total",ZONE_A_NODE_19,1.0
False,2025-12-03 08:20:00,pH field,ZONE_A_NODE_19,7.4
False,2025-12-03 08:20:00,Temperature,ZONE_A_NODE_19,22.0
False,2025-12-03 08:20:00,"Chlorine, Free",ZONE_DF_NODE_01,0.74
False,2025-12-03 08:20:00,"Chlorine, Total",ZONE_DF_NODE_01,1.1
False,2025-12-03 08:20:00,pH field,ZONE_DF_NODE_01,7.5
False,2025-12-03 08:20:00,Temperature,ZONE_DF_NODE_01,22.4
False,2025-12-03 08:10:00,"Chlorine, Free",ZONE_CO_NODE_31,1.3
False,2025-12-03 08:10:00,"Chlorine, Total",ZONE_CO_NODE_31,1.5
False,2025-12-03 08:10:00,pH field,ZONE_CO_NODE_31,7.3
False,2025-12-03 08:10:00,Temperature,ZONE_CO_NODE_31,20.7
False,2025-12-03 07:55:00,"Chlorine, Free",ZONE_A_NODE_17,0.05
False,2025-12-03 07:55:00,"Chlorine, Total",ZONE_A_NODE_17,0.75
False,2025-12-03 07:55:00,pH field,ZONE_A_NODE_17,7.2
False,2025-12-03 07:55:00,Temperature,ZONE_A_NODE_17,22.0
False,2025-12-03 07:48:00,"Chlorine, Free",ZONE_CC_NODE_01,0.37
False,2025-12-03 07:48:00,"Chlorine, Total",ZONE_CC_NODE_01,0.56
False,2025-12-03 07:48:00,pH field,ZONE_CC_NODE_01,7.6
False,2025-12-03 07:48:00,Temperature,ZONE_CC_NODE_01,23.0
False,2025-12-03 07:45:00,"Chlorine, Free",ZONE_CO_NODE_26,1.2
False,2025-12-03 07:45:00,"Chlorine, Total",ZONE_CO_NODE_26,1.4
False,2025-12-03 07:45:00,Temperature,ZONE_CO_NODE_26,20.7
False,2025-12-03 07:45:00,pH field,ZONE_CO_NODE_26,7.1
False,2025-12-03 07:30:00,"Chlorine, Free",ZONE_CO_NODE_01,0.87
False,2025-12-03 07:30:00,"Chlorine, Total",ZONE_CO_NODE_01,1.1
False,2025-12-03 07:30:00,pH field,ZONE_CO_NODE_01,7.2
False,2025-12-03 07:30:00,Temperature,ZONE_CO_NODE_01,22.0
False,2025-12-03 07:15:00,"Chlorine, Free",ZONE_CO_NODE_22,0.83
False,2025-12-03 07:15:00,"Chlorine, Total",ZONE_CO_NODE_22,1.0
False,2025-12-03 07:15:00,pH field,ZONE_CO_NODE_22,7.5
False,2025-12-03 07:15:00,Temperature,ZONE_CO_NODE_22,22.0
False,2025-12-03 06:50:00,"Chlorine, Free",ZONE_CR_NODE_01,1.3
False,2025-12-03 06:50:00,"Chlorine, Total",ZONE_CR_NODE_01,1.6
False,2025-12-03 06:50:00,pH field,ZONE_CR_NODE_01,7.0
False,2025-12-03 06:50:00,Temperature,ZONE_CR_NODE_01,20.1
False,2025-11-03 12:50:00,"Chlorine, Free",ZONE_BQ_NODE_01,0.89
False,2025-11-03 12:50:00,"Chlorine, Total",ZONE_BQ_NODE_01,1.1
False,2025-11-03 12:50:00,pH field,ZONE_BQ_NODE_01,7.2
False,2025-11-03 12:50:00,Temperature,ZONE_BQ_NODE_01,23.2
False,2025-11-03 12:33:00,"Chlorine, Free",ZONE_BF_NODE_01,1.3
False,2025-11-03 12:33:00,"Chlorine, Total",ZONE_BF_NODE_01,1.7
False,2025-11-03 12:33:00,pH field,ZONE_BF_NODE_01,7.4
False,2025-11-03 12:33:00,Temperature,ZONE_BF_NODE_01,23.6
False,2025-11-03 12:25:00,"Chlorine, Free",ZONE_CI_NODE_01,0.96
False,2025-11-03 12:25:00,"Chlorine, Total",ZONE_CI_NODE_01,1.1
False,2025-11-03 12:25:00,pH field,ZONE_CI_NODE_01,7.2
False,2025-11-03 12:25:00,Temperature,ZONE_CI_NODE_01,20.5
False,2025-11-03 12:10:00,"Chlorine, Free",ZONE_L_NODE_01,1.6
False,2025-11-03 12:10:00,"Chlorine, Total",ZONE_L_NODE_01,1.8
False,2025-11-03 12:10:00,pH field,ZONE_L_NODE_01,7.2
False,2025-11-03 12:10:00,Temperature,ZONE_L_NODE_01,21.0
False,2025-11-03 12:06:00,"Chlorine, Free",ZONE_AD_NODE_25,0.89
False,2025-11-03 12:06:00,"Chlorine, Total",ZONE_AD_NODE_25,1.4
False,2025-11-03 12:06:00,pH field,ZONE_AD_NODE_25,7.4
False,2025-11-03 12:06:00,Temperature,ZONE_AD_NODE_25,23.7
False,2025-11-03 11:49:00,"Chlorine, Free",ZONE_AD_NODE_06,0.5
False,2025-11-03 11:49:00,"Chlorine, Total",ZONE_AD_NODE_06,0.9
False,2025-11-03 11:49:00,pH field,ZONE_AD_NODE_06,7.4
False,2025-11-03 11:49:00,Temperature,ZONE_AD_NODE_06,23.5
False,2025-11-03 11:45:00,"Chlorine, Free",ZONE_CX_NODE_02,0.7
False,2025-11-03 11:45:00,"Chlorine, Total",ZONE_CX_NODE_02,0.87
False,2025-11-03 11:45:00,pH field,ZONE_CX_NODE_02,7.6
False,2025-11-03 11:45:00,Temperature,ZONE_CX_NODE_02,22.1
False,2025-11-03 11:45:00,"Chlorine, Free",ZONE_CZ_NODE_09,0.05
False,2025-11-03 11:45:00,"Chlorine, Total",ZONE_CZ_NODE_09,0.13
False,2025-11-03 11:45:00,pH field,ZONE_CZ_NODE_09,7.5
False,2025-11-03 11:45:00,Temperature,ZONE_CZ_NODE_09,24.0
False,2025-11-03 11:25:00,"Chlorine, Free",ZONE_BY_NODE_02,0.56
False,2025-11-03 11:25:00,"Chlorine, Total",ZONE_BY_NODE_02,0.66
False,2025-11-03 11:25:00,pH field,ZONE_BY_NODE_02,7.7
False,2025-11-03 11:25:00,Temperature,ZONE_BY_NODE_02,24.6
False,2025-11-03 11:22:00,"Chlorine, Free",ZONE_AD_NODE_34,1.4
False,2025-11-03 11:22:00,"Chlorine, Total",ZONE_AD_NODE_34,1.8
False,2025-11-03 11:22:00,pH field,ZONE_AD_NODE_34,7.4
False,2025-11-03 11:22:00,Temperature,ZONE_AD_NODE_34,24.1
False,2025-11-03 11:15:00,"Chlorine, Free",ZONE_B_NODE_01,1.3
False,2025-11-03 11:15:00,"Chlorine, Total",ZONE_B_NODE_01,1.4
False,2025-11-03 11:15:00,pH field,ZONE_B_NODE_01,7.1
False,2025-11-03 11:15:00,Temperature,ZONE_B_NODE_01,21.6
False,2025-11-03 11:10:00,"Chlorine, Free",ZONE_BV_NODE_29,0.51
False,2025-11-03 11:10:00,"Chlorine, Total",ZONE_BV_NODE_29,0.58
False,2025-11-03 11:10:00,pH field,ZONE_BV_NODE_29,7.6
False,2025-11-03 11:10:00,Temperature,ZONE_BV_NODE_29,23.8
False,2025-11-03 11:07:00,"Chlorine, Free",ZONE_AD_NODE_19,0.37
False,2025-11-03 11:07:00,"Chlorine, Total",ZONE_AD_NODE_19,0.73
False,2025-11-03 11:07:00,pH field,ZONE_AD_NODE_19,7.8
False,2025-11-03 11:07:00,Temperature,ZONE_AD_NODE_19,23.4
False,2025-11-03 11:00:00,"Chlorine, Free",ZONE_CR_NODE_04,1.3
False,2025-11-03 11:00:00,"Chlorine, Total",ZONE_CR_NODE_04,1.5
False,2025-11-03 11:00:00,pH field,ZONE_CR_NODE_04,7.2
False,2025-11-03 11:00:00,Temperature,ZONE_CR_NODE_04,21.4
False,2025-11-03 10:55:00,"Chlorine, Free",ZONE_BV_NODE_11,0.5
False,2025-11-03 10:55:00,"Chlorine, Total",ZONE_BV_NODE_11,0.55
False,2025-11-03 10:55:00,pH field,ZONE_BV_NODE_11,7.8
False,2025-11-03 10:55:00,Temperature,ZONE_BV_NODE_11,24.8
False,2025-11-03 10:55:00,"Chlorine, Free",ZONE_AO_NODE_04,0.59
False,2025-11-03 10:55:00,"Chlorine, Total",ZONE_AO_NODE_04,0.76
False,2025-11-03 10:55:00,pH field,ZONE_AO_NODE_04,7.4
False,2025-11-03 10:55:00,Temperature,ZONE_AO_NODE_04,22.0
False,2025-11-03 10:51:00,"Chlorine, Free",ZONE_AD_NODE_30,1.0
False,2025-11-03 10:51:00,"Chlorine, Total",ZONE_AD_NODE_30,1.6
False,2025-11-03 10:51:00,pH field,ZONE_AD_NODE_30,7.4
False,2025-11-03 10:51:00,Temperature,ZONE_AD_NODE_30,22.5
False,2025-11-03 10:50:00,"Chlorine, Free",ZONE_DC_NODE_20,0.6
False,2025-11-03 10:50:00,"Chlorine, Total",ZONE_DC_NODE_20,1.1
False,2025-11-03 10:50:00,pH field,ZONE_DC_NODE_20,7.5
False,2025-11-03 10:50:00,Temperature,ZONE_DC_NODE_20,21.6
False,2025-11-03 10:45:00,"Chlorine, Free",ZONE_AO_NODE_01,0.78
False,2025-11-03 10:45:00,"Chlorine, Total",ZONE_AO_NODE_01,0.94
False,2025-11-03 10:45:00,pH field,ZONE_AO_NODE_01,7.6
False,2025-11-03 10:45:00,Temperature,ZONE_AO_NODE_01,23.0
False,2025-11-03 10:40:00,"Chlorine, Free",ZONE_BV_NODE_13,0.47
False,2025-11-03 10:40:00,"Chlorine, Total",ZONE_BV_NODE_13,0.55
False,2025-11-03 10:40:00,Temperature,ZONE_BV_NODE_13,24.8
False,2025-11-03 10:40:00,pH field,ZONE_BV_NODE_13,7.9
False,2025-11-03 10:34:00,"Chlorine, Free",ZONE_AD_NODE_31,1.4
False,2025-11-03 10:34:00,"Chlorine, Total",ZONE_AD_NODE_31,1.8
False,2025-11-03 10:34:00,pH field,ZONE_AD_NODE_31,7.4
False,2025-11-03 10:34:00,Temperature,ZONE_AD_NODE_31,22.5
False,2025-11-03 10:30:00,"Chlorine, Free",ZONE_DC_NODE_12,0.44
False,2025-11-03 10:30:00,"Chlorine, Total",ZONE_DC_NODE_12,0.73
False,2025-11-03 10:30:00,pH field,ZONE_DC_NODE_12,7.5
False,2025-11-03 10:30:00,Temperature,ZONE_DC_NODE_12,21.3
False,2025-11-03 10:30:00,"Chlorine, Free",ZONE_AO_NODE_05,0.61
False,2025-11-03 10:30:00,"Chlorine, Total",ZONE_AO_NODE_05,0.75
False,2025-11-03 10:30:00,pH field,ZONE_AO_NODE_05,7.7
False,2025-11-03 10:30:00,Temperature,ZONE_AO_NODE_05,24.0
False,2025-11-03 10:30:00,"Chlorine, Free",ZONE_CX_NODE_25,1.0
False,2025-11-03 10:30:00,"Chlorine, Total",ZONE_CX_NODE_25,1.2
False,2025-11-03 10:30:00,pH field,ZONE_CX_NODE_25,7.1
False,2025-11-03 10:30:00,Temperature,ZONE_CX_NODE_25,22.0
False,2025-11-03 10:28:00,"Chlorine, Free",ZONE_U_NODE_02,0.48
False,2025-11-03 10:28:00,"Chlorine, Total",ZONE_U_NODE_02,0.56
False,2025-11-03 10:28:00,pH field,ZONE_U_NODE_02,8.1
False,2025-11-03 10:28:00,Temperature,ZONE_U_NODE_02,25.6
False,2025-11-03 10:19:00,"Chlorine, Free",ZONE_AD_NODE_29,0.81
False,2025-11-03 10:19:00,"Chlorine, Total",ZONE_AD_NODE_29,1.2
False,2025-11-03 10:19:00,pH field,ZONE_AD_NODE_29,7.4
False,2025-11-03 10:19:00,Temperature,ZONE_AD_NODE_29,25.2
False,2025-11-03 10:15:00,"Chlorine, Free",ZONE_AL_NODE_04,0.24
False,2025-11-03 10:15:00,"Chlorine, Total",ZONE_AL_NODE_04,0.36
False,2025-11-03 10:15:00,pH field,ZONE_AL_NODE_04,7.5
False,2025-11-03 10:15:00,Temperature,ZONE_AL_NODE_04,25.0
False,2025-11-03 10:10:00,"Chlorine, Free",ZONE_DC_NODE_07,0.64
False,2025-11-03 10:10:00,"Chlorine, Total",ZONE_DC_NODE_07,0.99
False,2025-11-03 10:10:00,pH field,ZONE_DC_NODE_07,7.6
False,2025-11-03 10:10:00,Temperature,ZONE_DC_NODE_07,23.7
False,2025-11-03 10:05:00,"Chlorine, Free",ZONE_AD_NODE_28,0.18
False,2025-11-03 10:05:00,"Chlorine, Total",ZONE_AD_NODE_28,0.61
False,2025-11-03 10:05:00,pH field,ZONE_AD_NODE_28,7.5
False,2025-11-03 10:05:00,Temperature,ZONE_AD_NODE_28,25.3
False,2025-11-03 10:00:00,"Chlorine, Free",ZONE_X_NODE_02,0.75
False,2025-11-03 10:00:00,"Chlorine, Total",ZONE_X_NODE_02,0.83
False,2025-11-03 10:00:00,pH field,ZONE_X_NODE_02,7.4
